"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS"
"RED_AC_CODE","VARCHAR2(20 BYTE)","Yes","",138,"買回基金主帳戶帳號"
"RED_BANK_NO","VARCHAR2(3 BYTE)","Yes","",136,"買回基金主帳戶銀行代號"
"RED_BRANCH_NO","VARCHAR2(4 BYTE)","Yes","",137,"買回基金主帳戶分行代號"
"RED_CUT_OFF","DATE","Yes","",65,"申購關帳時間"
"RED_NAV_DAY","NUMBER(2,0)","Yes","",71,"買回淨值日"
"REGISTRATION","VARCHAR2(2 BYTE)","Yes","",171,"基金註冊地"
"RESET_PERIOD","NUMBER(3,0)","Yes","",79,"績效重設區間 (月份)"
"REVIEWED_BY","VARCHAR2(6 BYTE)","Yes","",130,"覆核人"
"REVIEW_DATE","DATE","Yes","",131,"覆核時間"
"RISK_CATEGORY","VARCHAR2(3 BYTE)","Yes","",109,"風險收益等級"
"ROUNDING_SHARE","VARCHAR2(1 BYTE)","Yes","",84,"單位數捨位方式  O:四捨五入 U:無條件進位 D:無條件捨去"
"RSP_CHANGE","VARCHAR2(1 BYTE)","Yes","'N'",120,"開放網路變更書面定額"
"SALES_DATE","DATE","Yes","",157,"開賣日"
"SALES_TYPE","VARCHAR2(1 BYTE)","Yes","'0' ",168,"0 正常 1 暫停銷售 2 未開賣"
"SERVICE_CHARGE_TYPE","VARCHAR2(1 BYTE)","Yes","'1' ",151,"手續費類型 1-前收 2-後收"
"SF_RATE","NUMBER(10,7)","Yes","0 ",165,"保管費"
"SHARE_CLASS","VARCHAR2(6 BYTE)","Yes","",68,"級別"
"SHARE_DECIMAL","NUMBER(1,0)","Yes","",61,"單位數小數位數"
"SITCA_FUND_TYPE","VARCHAR2(5 BYTE)","Yes","",113,"投信顧公會基金類型"
"SNAME","VARCHAR2(100 BYTE)","Yes","",3,"基金簡稱"
"SSNAME","VARCHAR2(60 BYTE)","Yes","",30,"基金簡稱2"
"STATUS","VARCHAR2(1 BYTE)","Yes","",132,"狀態"
"SUBTA_NO","VARCHAR2(2 BYTE)","No","",147,""
"T0_CODE","VARCHAR2(12 BYTE)","Yes","",85,"T0_CODE"
"TAX_NO","VARCHAR2(3 BYTE)","Yes","",35,"單日最大漲跌幅 - 單日最大漲跌幅"
"TDCC_CODE","VARCHAR2(6 BYTE)","Yes","",111,"集保受益憑証代號"
"TDCC_DEBIT_CUT_OFF","DATE","Yes","",144,""
"TDCC_RED_CUT_OFF","DATE","Yes","",146,""
"TDCC_REMIT_CUT_OFF","DATE","Yes","",145,""
"TERM_NO","VARCHAR2(2 BYTE)","Yes","",9,"發行期別 - 初次發行為01、追加發行依序編列。"
"TSCD_NAV_UPLOAD_TYPE","VARCHAR2(1 BYTE)","Yes","'Y'",123,"開放集保NAV上傳, 境內基金預設值為'N', 境外基金預設值為'Y' "
"TW_RATE","NUMBER(7,6)","Yes","",48,"TW RATE"
"TX_CALENDAR_CODE","VARCHAR2(5 BYTE)","Yes","",98,"基金專戶名稱"
"UWCB_AC_CODE","VARCHAR2(12 BYTE)","Yes","",43,"ATM帳戶基金帳號 - 世華銀ATM虛擬帳戶用"
"UWCB_FUND_NO","VARCHAR2(5 BYTE)","Yes","",42,"ATM帳戶基金代碼 - 世華銀ATM虛擬帳戶用"
"VARIABLE_MF","VARCHAR2(1 BYTE)","Yes","'N'",49,"保管銀行代號 - Y:固定費率 N:變動費率 (將影響 bns21 經理費計算)"
"VAT","VARCHAR2(10 BYTE)","Yes","",37,"統一編號"
"VISA_DATE","DATE","Yes","",16,"上次簽證日期"
