entity_type,entity,recommended_count,not_recommended_count,unknown_count,thread_count,threads,total_mentions
doctor,麗舍的陳醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1710958084.A.37E,1
doctor,儷人的鍾醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1709200843.A.BF3,1
doctor,絕色給孫醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1709200843.A.BF3,1
doctor,的李京軒醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1700914903.A.967,1
doctor,後也覺得醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1699060021.A.CDD,1
doctor,英洪章桂醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690,1
doctor,一輪下來醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690,1
doctor,慕顏周杰醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690,1
doctor,給晶美陳院長,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1693985291.A.22C,1
doctor,解診所跟醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1692251416.A.5E9,1
doctor,貌似蠻吃醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598,1
doctor,給張容輔醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598,1
doctor,確實很吃醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598,1
doctor,的楊國輝醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1689580468.A.B01,1
doctor,皮都給風x林醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1689580468.A.B01,1
doctor,家有名的醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1671634979.A.247,1
doctor,中有一家醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1671634979.A.247,1
doctor,找陳承謙醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1671634979.A.247,1
doctor,結果醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29,1
doctor,給楊院長,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1649560185.A.83F,1
doctor,預約了楊醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648541415.A.A95,1
doctor,美學給蔡醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648541415.A.A95,1
doctor,割眼袋的醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648287684.A.B43,1
doctor,都不錯的醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648287684.A.B43,1
doctor,的費用和醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648287684.A.B43,1
doctor,覺得醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648287684.A.B43,1
doctor,到現場後醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D,1
doctor,真的就像醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D,1
doctor,術前跟醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1633002101.A.C2B,1
doctor,另外醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1632299340.A.038,1
doctor,去跟醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1631372371.A.FE2,1
doctor,應該跟醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1631372371.A.FE2,1
doctor,得不錯的醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1627569863.A.7D2,1
doctor,結果現在醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1627569863.A.7D2,1
